timestamp,query,total_results,kept_results,precision,avg_score,max_score
2026-04-04 18:34:27,regata vela club nautico resultados 2026,10,10,1.0,8.75,11.5
2026-04-04 18:34:34,club de voile regate resultats 2026,10,10,1.0,7.75,10.0
