raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
IRC,J 109 2.10,,,pending,,
IRC,SUMMIT 40 KING 2.5,,,pending,,
IRC,J 111 2.20 EU,,,pending,,
IRC,J 121 2.52 Fin6 WB,,,pending,,
IRC,X 40 MOD hull & ap,,,pending,,
IRC,EVOLUTION 26 1.52,,,pending,,
IRC,JPK 10.30 2.00,,,pending,,
IRC,GRAND SOLEIL 46 (0,,,pending,,
IRC,FIRST CLASS 8 1.71,,,pending,,
IRC,FIRST 35 2.20 (09),,,pending,,
IRC,CAPE 31 UK-IRL Cla,,,pending,,
IRC,Elan 333,,,pending,,
IRC,HALF TON Andrieu,,,pending,,
IRC,BENETEAU PLATU 25,,,pending,,
IRC,J 92,,,pending,,
IRC,FULMAR 1.62,,,pending,,
IRC,J 99 2.00,,,pending,,
IRC,XP 33 1.90,,,pending,,
IRC,J 112 E 2.23 Fin6,,,pending,,
IRC,SWAN 45 2.25,,,pending,,
IRC,KER 36 (05) Custom,,,pending,,
IRC,HOD 35 2.20,,,pending,,
IRC,Pogo 44,,,pending,,
IRC,J80,,,pending,,
IRC,SUN FAST 3200 R2 1,,,pending,,
IRC,SUN FAST 3600 2.20,,,pending,,
IRC,IMPALA 28 I/B,,,pending,,
IRC,A 40 RC 2.48,,,pending,,
IRC,Beneteau First 33.,,,pending,,
IRC,J 92 S 1.90,,,pending,,
IRC,QUARTER TON,,,pending,,
IRC,J 80 OD,,,pending,,
IRC,JPK 10.30,,,pending,,
IRC,A 31 1.90,,,pending,,
IRC,J 99 2.10 Fin6,,,pending,,
IRC,J105,,,pending,,
IRC,J 112 E 2.12,,,pending,,
IRC,MG 335 1.90,,,pending,,
IRC,LAURENT GILES Clas,,,pending,,
IRC,FARR 36M 2.23,,,pending,,
IRC,CORBY 45 (98) Cust,,,pending,,
IRC,Evolution 26,,,pending,,
IRC,Projection 920 (mo,,,pending,,
IRC,J 122 2.20,,,pending,,
IRC,CONTESSA 32,,,pending,,
IRC,J99,,,pending,,
IRC,S & S 43 Custom,,,pending,,
IRC,BAVARIA 37 CR (14),,,pending,,
IRC,VOLVO OPEN 70,,,pending,,
IRC,CORBY 34.7 Custom,,,pending,,
IRC,FIRST 310 1.80,,,pending,,
IRC,FIRST 40 CR 2.45,,,pending,,
